created_at,Temperature,Humidity
2025-10-24 08:49:00+00:00,23.6,59.5
2025-10-24 08:51:07+00:00,23.7,69.0
2025-10-24 08:55:22+00:00,23.5,62.4
2025-10-24 09:10:09+00:00,23.3,59.8
2025-10-24 09:12:18+00:00,23.3,68.7
2025-10-24 09:14:25+00:00,23.3,63.0
2025-10-24 09:16:34+00:00,23.2,66.5
2025-10-24 09:20:48+00:00,23.2,62.3
2025-10-24 09:27:22+00:00,23.5,64.6
2025-10-24 09:29:26+00:00,23.5,64.2
2025-10-24 09:50:14+00:00,23.4,61.7
2025-10-24 10:15:27+00:00,23.2,62.6
2025-10-24 10:28:03+00:00,23.2,69.2
2025-10-24 10:55:55+00:00,23.2,62.6
2025-10-24 11:08:48+00:00,23.1,68.9
2025-10-24 11:10:53+00:00,23.1,62.2
2025-10-24 11:29:57+00:00,23.5,57.3
2025-10-24 11:40:30+00:00,23.8,66.5
2025-10-24 11:42:42+00:00,23.7,58.3
2025-10-24 11:44:49+00:00,23.7,62.9
2025-10-24 11:47:00+00:00,23.8,65.6
2025-10-24 11:51:09+00:00,23.8,63.6
2025-10-24 11:53:14+00:00,23.9,65.8
2025-10-24 12:01:31+00:00,23.8,58.3
2025-10-24 12:03:37+00:00,23.7,61.2
2025-10-24 12:05:41+00:00,23.9,67.3
2025-10-24 12:56:04+00:00,23.4,66.7
2025-10-24 13:13:04+00:00,23.3,65.9
2025-10-24 13:19:29+00:00,23.3,70.6
2025-10-24 13:21:40+00:00,23.3,65.4
2025-10-24 13:23:45+00:00,23.3,68.4
2025-10-24 13:25:49+00:00,23.4,67.4
2025-10-24 13:27:54+00:00,23.2,64.6
2025-10-24 13:32:04+00:00,23.2,61.7
2025-10-24 13:42:29+00:00,23.3,62.5
2025-10-24 13:44:36+00:00,23.4,71.0
2025-10-24 13:46:42+00:00,23.3,64.5
